customer_id,churned
CHURN-SCORE-00001,0
CHURN-SCORE-00002,0
CHURN-SCORE-00003,0
CHURN-SCORE-00004,0
CHURN-SCORE-00005,0
CHURN-SCORE-00006,1
CHURN-SCORE-00007,0
CHURN-SCORE-00008,0
CHURN-SCORE-00009,0
CHURN-SCORE-00010,0
CHURN-SCORE-00011,0
CHURN-SCORE-00012,0
CHURN-SCORE-00013,0
CHURN-SCORE-00014,0
CHURN-SCORE-00015,0
CHURN-SCORE-00016,0
CHURN-SCORE-00017,0
CHURN-SCORE-00018,0
CHURN-SCORE-00019,0
CHURN-SCORE-00020,0
CHURN-SCORE-00021,0
CHURN-SCORE-00022,0
CHURN-SCORE-00023,0
CHURN-SCORE-00024,0
CHURN-SCORE-00025,0
CHURN-SCORE-00026,0
CHURN-SCORE-00027,0
CHURN-SCORE-00028,0
CHURN-SCORE-00029,0
CHURN-SCORE-00030,0
CHURN-SCORE-00031,0
CHURN-SCORE-00032,0
CHURN-SCORE-00033,0
CHURN-SCORE-00034,0
CHURN-SCORE-00035,0
CHURN-SCORE-00036,0
CHURN-SCORE-00037,1
CHURN-SCORE-00038,0
CHURN-SCORE-00039,0
CHURN-SCORE-00040,0
CHURN-SCORE-00041,0
CHURN-SCORE-00042,0
CHURN-SCORE-00043,0
CHURN-SCORE-00044,0
CHURN-SCORE-00045,0
CHURN-SCORE-00046,0
CHURN-SCORE-00047,0
CHURN-SCORE-00048,0
CHURN-SCORE-00049,0
CHURN-SCORE-00050,0
CHURN-SCORE-00051,0
CHURN-SCORE-00052,1
CHURN-SCORE-00053,0
CHURN-SCORE-00054,0
CHURN-SCORE-00055,0
CHURN-SCORE-00056,0
CHURN-SCORE-00057,0
CHURN-SCORE-00058,1
CHURN-SCORE-00059,0
CHURN-SCORE-00060,0
CHURN-SCORE-00061,0
CHURN-SCORE-00062,0
CHURN-SCORE-00063,0
CHURN-SCORE-00064,0
CHURN-SCORE-00065,0
CHURN-SCORE-00066,0
CHURN-SCORE-00067,0
CHURN-SCORE-00068,0
CHURN-SCORE-00069,0
CHURN-SCORE-00070,0
CHURN-SCORE-00071,0
CHURN-SCORE-00072,0
CHURN-SCORE-00073,0
CHURN-SCORE-00074,0
CHURN-SCORE-00075,0
CHURN-SCORE-00076,0
CHURN-SCORE-00077,0
CHURN-SCORE-00078,0
CHURN-SCORE-00079,0
CHURN-SCORE-00080,0
CHURN-SCORE-00081,0
CHURN-SCORE-00082,0
CHURN-SCORE-00083,0
CHURN-SCORE-00084,0
CHURN-SCORE-00085,0
CHURN-SCORE-00086,0
CHURN-SCORE-00087,0
CHURN-SCORE-00088,0
CHURN-SCORE-00089,0
CHURN-SCORE-00090,0
CHURN-SCORE-00091,0
CHURN-SCORE-00092,0
CHURN-SCORE-00093,0
CHURN-SCORE-00094,0
CHURN-SCORE-00095,0
CHURN-SCORE-00096,0
CHURN-SCORE-00097,0
CHURN-SCORE-00098,0
CHURN-SCORE-00099,0
CHURN-SCORE-00100,0
CHURN-SCORE-00101,0
CHURN-SCORE-00102,0
CHURN-SCORE-00103,0
