timestamp,batch_id,heater_command_pct,feed_flow_l_min,reactor_temperature_c
2025-01-01T00:00:00Z,B001,30.8099,38.5177,58.0
2025-01-01T00:05:00Z,B001,29.9792,37.9295,55.6258
2025-01-01T00:10:00Z,B001,34.0208,37.9365,53.6498
2025-01-01T00:15:00Z,B001,30.841,39.2817,52.41
2025-01-01T00:20:00Z,B001,34.2129,39.6014,50.254
2025-01-01T00:25:00Z,B001,30.4494,39.6546,48.5726
2025-01-01T00:30:00Z,B001,29.6617,40.0032,47.0568
2025-01-01T00:35:00Z,B001,33.8174,40.4837,45.5681
2025-01-01T00:40:00Z,B001,32.8674,39.3563,44.5335
2025-01-01T00:45:00Z,B001,36.0499,39.3513,43.2644
2025-01-01T00:50:00Z,B001,33.4702,40.0899,42.5817
2025-01-01T00:55:00Z,B001,33.948,39.291,41.5888
2025-01-01T01:00:00Z,B001,35.0468,40.694,41.3594
2025-01-01T01:05:00Z,B001,33.755,41.4001,40.9423
2025-01-01T01:10:00Z,B001,32.1985,41.4941,40.3402
2025-01-01T01:15:00Z,B001,32.8167,41.5215,39.8566
2025-01-01T01:20:00Z,B001,35.0153,41.8977,39.5841
2025-01-01T01:25:00Z,B001,35.89,41.9306,39.3123
2025-01-01T01:30:00Z,B001,34.0627,42.2534,38.9627
2025-01-01T01:35:00Z,B001,36.6826,41.5881,38.4702
2025-01-01T01:40:00Z,B001,35.2844,42.527,38.6848
2025-01-01T01:45:00Z,B001,36.2954,42.2053,38.3724
2025-01-01T01:50:00Z,B001,36.4615,42.1623,38.758
2025-01-01T01:55:00Z,B001,35.9059,42.9147,38.5858
2025-01-01T02:00:00Z,B001,35.2971,43.1372,38.3068
2025-01-01T02:05:00Z,B001,36.5617,43.4092,38.7769
2025-01-01T02:10:00Z,B001,36.7017,43.2974,39.0563
2025-01-01T02:15:00Z,B001,37.9204,42.4313,38.735
2025-01-01T02:20:00Z,B001,37.5267,42.6578,39.303
2025-01-01T02:25:00Z,B001,38.1583,42.5587,39.4157
2025-01-01T02:30:00Z,B001,36.7081,43.1344,39.622
2025-01-01T02:35:00Z,B001,37.2346,44.7116,39.5069
2025-01-01T02:40:00Z,B001,37.777,43.8932,39.6511
2025-01-01T02:45:00Z,B001,37.2675,43.1071,39.932
2025-01-01T02:50:00Z,B001,35.8509,43.3616,39.8103
2025-01-01T02:55:00Z,B001,38.124,43.3203,39.8294
2025-01-01T03:00:00Z,B001,38.928,43.8003,40.0147
2025-01-01T03:05:00Z,B001,37.3778,42.5451,39.9097
2025-01-01T03:10:00Z,B001,39.7647,43.8032,40.0101
2025-01-01T03:15:00Z,B001,36.4207,44.8056,40.3626
2025-01-01T03:20:00Z,B001,37.6209,43.2715,40.3733
2025-01-01T03:25:00Z,B001,39.7539,44.3024,40.6014
2025-01-01T03:30:00Z,B001,37.3746,44.2199,40.8576
2025-01-01T03:35:00Z,B001,39.5435,45.0527,40.8168
2025-01-01T03:40:00Z,B001,37.9545,44.832,41.1022
2025-01-01T03:45:00Z,B001,36.9886,44.1467,41.287
2025-01-01T03:50:00Z,B001,35.0467,45.2113,41.3262
2025-01-01T03:55:00Z,B001,36.891,44.7943,41.353
2025-01-01T04:00:00Z,B001,38.742,44.3564,41.7132
2025-01-01T04:05:00Z,B001,38.0456,44.2606,41.7201
2025-01-01T04:10:00Z,B001,39.5617,45.9665,41.3129
2025-01-01T04:15:00Z,B001,37.3533,44.215,41.0661
2025-01-01T04:20:00Z,B001,39.0228,44.4307,41.4646
2025-01-01T04:25:00Z,B001,39.1699,44.1385,41.7658
2025-01-01T04:30:00Z,B001,36.8131,44.1229,42.2103
2025-01-01T04:35:00Z,B001,40.2054,44.5084,42.5299
2025-01-01T04:40:00Z,B001,37.7643,44.3544,42.8095
2025-01-01T04:45:00Z,B001,36.7474,44.7176,42.8971
2025-01-01T04:50:00Z,B001,37.3001,44.3907,42.8066
2025-01-01T04:55:00Z,B001,37.6191,44.0967,43.0116
2025-01-01T05:00:00Z,B001,35.981,44.5125,43.509
2025-01-01T05:05:00Z,B001,37.9386,44.2287,42.7445
2025-01-01T05:10:00Z,B001,35.3757,44.8394,42.8699
2025-01-01T05:15:00Z,B001,35.4779,44.7668,42.93
2025-01-01T05:20:00Z,B001,36.8339,44.4774,43.0285
2025-01-01T05:25:00Z,B001,35.1996,44.1048,43.2868
2025-01-01T05:30:00Z,B001,36.7542,43.5795,42.9306
2025-01-01T05:35:00Z,B001,35.1646,44.19,42.8394
2025-01-01T05:40:00Z,B001,36.2231,43.0079,42.4262
2025-01-01T05:45:00Z,B001,35.3672,43.2889,42.4326
2025-01-01T05:50:00Z,B001,32.8612,43.0684,42.1961
2025-01-01T05:55:00Z,B001,35.5934,43.3663,41.971
2025-01-01T06:00:00Z,B001,33.9561,43.8228,42.1187
2025-01-01T06:05:00Z,B001,35.7694,42.9995,41.8154
2025-01-01T06:10:00Z,B001,34.9376,44.0066,41.6415
2025-01-01T06:15:00Z,B001,33.6064,43.6208,41.0649
2025-01-01T06:20:00Z,B001,32.6456,43.5036,41.0166
2025-01-01T06:25:00Z,B001,32.5424,43.1667,41.0463
2025-01-01T06:30:00Z,B001,32.7094,42.4727,41.059
2025-01-01T06:35:00Z,B001,32.7934,42.3247,41.0973
2025-01-01T06:40:00Z,B001,32.4434,42.6059,41.043
2025-01-01T06:45:00Z,B001,31.2974,42.9832,40.7079
2025-01-01T06:50:00Z,B001,33.2872,41.3001,40.4745
2025-01-01T06:55:00Z,B001,33.2495,43.2393,40.8203
2025-01-01T07:00:00Z,B001,29.5603,42.3685,40.4323
2025-01-01T07:05:00Z,B001,29.5816,41.5059,39.8023
2025-01-01T07:10:00Z,B001,32.1676,41.4115,39.9778
2025-01-01T07:15:00Z,B001,29.7276,40.7396,40.2352
2025-01-01T07:20:00Z,B001,30.6194,41.8613,39.9694
2025-01-01T07:25:00Z,B001,29.7384,42.1159,39.5624
2025-01-01T07:30:00Z,B001,31.855,40.8747,39.5005
2025-01-01T07:35:00Z,B001,28.9856,40.8322,39.659
2025-01-01T07:40:00Z,B001,29.629,40.1157,39.2435
2025-01-01T07:45:00Z,B001,29.0952,40.3461,38.9832
2025-01-01T07:50:00Z,B001,29.1326,39.451,38.6094
2025-01-01T07:55:00Z,B001,30.4664,40.2979,38.6364
2025-01-01T08:00:00Z,B001,36.515,40.1793,38.2774
2025-01-01T08:05:00Z,B001,36.9856,40.0887,38.1729
2025-01-01T08:10:00Z,B001,37.7216,39.6458,37.8007
2025-01-01T08:15:00Z,B001,36.3296,40.0677,37.8948
2025-01-01T08:20:00Z,B001,36.5664,39.0892,38.2405
2025-01-01T08:25:00Z,B001,38.977,39.2214,38.951
2025-01-01T08:30:00Z,B001,36.9734,38.6073,39.4146
2025-01-01T08:35:00Z,B001,35.3446,39.0574,39.6841
2025-01-01T08:40:00Z,B001,36.3317,38.3237,39.6243
2025-01-01T08:45:00Z,B001,35.853,38.7794,40.2685
2025-01-01T08:50:00Z,B001,35.6714,38.3671,40.2222
2025-01-01T08:55:00Z,B001,36.0601,38.5484,40.3243
2025-01-01T09:00:00Z,B001,35.1704,37.4867,40.529
2025-01-01T09:05:00Z,B001,35.0457,37.3284,40.7518
2025-01-01T09:10:00Z,B001,34.4078,37.9623,41.0886
2025-01-01T09:15:00Z,B001,34.8438,37.7809,41.0761
2025-01-01T09:20:00Z,B001,33.2158,36.2063,41.0467
2025-01-01T09:25:00Z,B001,33.0315,36.1025,41.3184
2025-01-01T09:30:00Z,B001,33.3134,37.3527,41.2449
2025-01-01T09:35:00Z,B001,35.9454,35.874,41.4565
2025-01-01T09:40:00Z,B001,33.0294,35.8442,41.2845
2025-01-01T09:45:00Z,B001,35.2331,36.2736,40.8983
2025-01-01T09:50:00Z,B001,33.7432,36.6445,40.7763
